id,type,nr,date,url
001,wintibrief,0,2025-04-11,https://mailchi.mp/wnti/wnti-brieft-los-und-ldt-zur-blattkritik
002,wintibrief,1,2025-04-14,https://mailchi.mp/wnti/die-stadt-das-velo-und-wir
003,wintibrief,2,2025-04-15,https://mailchi.mp/wnti/mit-dem-dimensione-schliesst-mehr-als-nur-ein-bistro-5ttjalfsqg
004,wintibrief,3,2025-04-16,https://mailchi.mp/wnti/letzter-grosser-umbau-am-lagerplatz-0iv4htyt08
005,wintibrief,4,2025-04-17,https://mailchi.mp/wnti/architekturschatz-in-den-quartieren
006,wintibrief,5,2025-04-22,https://mailchi.mp/wnti/der-fcw-erkmpft-sich-einen-sieg-und-der-biber-legt-sich-schlafe
007,wintibrief,6,2025-04-23,https://mailchi.mp/wnti/seit-zehn-jahren-tanzen-und-torkeln-studis-im-trmli
008,wintibrief,7,2025-04-24,https://mailchi.mp/wnti/baumngel-am-krokodil
009,wintibrief,8,2025-04-25,https://mailchi.mp/wnti/das-prozentchen-das-bewegt
010,wintibrief,9,2025-04-28,https://mailchi.mp/wnti/sammelkarten-erobern-winterthur-jybh2mzl7y
011,wintibrief,10,2025-04-29,https://mailchi.mp/wnti/auf-den-spuren-des-eulach-biber
012,wintibrief,11,2025-04-30,https://mailchi.mp/wnti/badisaison-ahoi-das-wolfi-feiert-seinen-88-geburtstag
013,wintibrief,12,2025-05-02,https://mailchi.mp/wnti/landbesetzung-im-ngelsee-quartier
014,wintibrief,13,2025-05-05,https://mailchi.mp/wnti/von-winterthur-bis-an-die-ukrainische-front
015,wintibrief,14,2025-05-06,https://mailchi.mp/wnti/freispruch-im-1-mai-prozess-und-schlechte-nachrichten-fr-winterthurer-rugby-fans
016,wintibrief,15,2025-05-07,https://mailchi.mp/wnti/wer-wird-stapi
017,wintibrief,16,2025-05-08,https://mailchi.mp/wnti/historische-loks-bedroht
018,wintibrief,17,2025-05-09,https://mailchi.mp/wnti/nicht-jeder-goldhndler-glnzt
019,wintibrief,18,2025-05-12,https://mailchi.mp/wnti/aktmalen-und-dabei-noch-eins-trinken
020,parlamentsbrief,1,2025-05-13,https://mailchi.mp/wnti/zu-alt-zu-wenig-frauen-aber-besser-als-viele-meinen
021,wintibrief,19,2025-05-13,https://mailchi.mp/wnti/ur-sprung-wie-aus-einer-kirche-eine-pop-up-galerie-wurde-zbfnevq59k
022,wintibrief,20,2025-05-14,https://mailchi.mp/wnti/das-fotomuseum-feiert-wiedererffnung
023,wintibrief,21,2025-05-15,https://mailchi.mp/wnti/auf-spuren-von-seen-in-winterthur
024,wintibrief,22,2025-05-16,https://mailchi.mp/wnti/freiwillig-zum-mieter-werden-und-sich-dann-ber-den-zins-beschweren-c1quio1lv5
025,wintibrief,23,2025-05-19,https://mailchi.mp/wnti/quo-vadis-sommertheater
026,wintibrief,24,2025-05-20,https://mailchi.mp/wnti/die-frackwoche-wird-100-jahre-alt-ein-historischer-berblick-a2ya6pqze9
027,wintibrief,25,2025-05-21,https://mailchi.mp/wnti/hallo-sommer-hallo-musik-hzjbmb6afs
028,wintibrief,26,2025-05-22,https://mailchi.mp/wnti/secondhand-im-trend
029,wintibrief,27,2025-05-23,https://mailchi.mp/wnti/bauen-mit-gebrauchtem-ein-pionierbetrieb-denkt-weiter
030,wintibrief,28,2025-05-26,https://mailchi.mp/wnti/brunchen-mit-der-nachbarschaft-nix-fr-dich
031,wintibrief,29,2025-05-27,https://mailchi.mp/wnti/gisi-bleibt-kultur-kollektiv-wehrt-sich-gegen-kndigung-gv8n0mtyb0
032,wintibrief,30,2025-05-28,https://mailchi.mp/wnti/mit-dem-velo-auf-safari-fkoe43u0zb
033,wintibrief,31,2025-05-30,https://mailchi.mp/wnti/mattea-meyer-und-nik-gugger-zwei-krftige-stimmen-in-bern
034,wintibrief,32,2025-06-02,https://mailchi.mp/wnti/frauenfussball-em-boom-vs-platzmangel
035,parlamentsbrief,2,2025-06-03,https://mailchi.mp/wnti/ber-tempo-30-entscheiden-die-gemeinden
036,wintibrief,33,2025-06-03,https://mailchi.mp/wnti/warum-machen-schwmbis-minus
037,wintibrief,34,2025-06-04,https://mailchi.mp/wnti/vom-kloster-zum-urbanen-campus
038,wintibrief,35,2025-06-05,https://mailchi.mp/wnti/afro-pfingsten-und-das-koloniale-erbe-winterthurs
039,wintibrief,36,2025-06-06,https://mailchi.mp/wnti/zukunft-bahnhof-winterthur
040,wintibrief,37,2025-06-10,https://mailchi.mp/wnti/gruss-aus-den-nassen-pfingstlagern
041,wintibrief,38,2025-06-11,https://mailchi.mp/wnti/winterthur-sucht-die-jungen-schachschweizermeister-2m8w84bp57
042,wintibrief,39,2025-06-12,https://mailchi.mp/wnti/wegen-lrm-zum-sturmgewehr-gegriffen
043,wintibrief,40,2025-06-13,https://mailchi.mp/wnti/wie-klimafreundlich-isst-winti
044,wintibrief,41,2025-06-16,https://mailchi.mp/wnti/erste-wohngruppe-fr-magerschtige-geplant
045,wintibrief,42,2025-06-17,https://mailchi.mp/wnti/dings-das-lido-an-der-tss-94h849pfpk
046,wintibrief,43,2025-06-18,https://mailchi.mp/wnti/schweres-gert-und-luftige-tanzschritte-in-der-nagli
047,wintibrief,44,2025-06-19,https://mailchi.mp/wnti/winti-wird-abgeklrt-8gvyutcw77
048,wintibrief,45,2025-06-20,https://mailchi.mp/wnti/versteckte-kinder-und-getrennte-familien-das-schicksal-vieler-migrantischer-familien
049,wintibrief,46,2025-06-23,https://mailchi.mp/wnti/winterthur-wird-zur-pickleball-hochburg
050,wintibrief,47,2025-06-24,https://mailchi.mp/wnti/verstorbene-beim-namen-nennen-xbmf9hacce
051,wintibrief,48,2025-06-25,https://mailchi.mp/wnti/adhs-oder-nicht-wie-geht-es-weiter-236kasc6vu
052,wintibrief,49,2025-06-26,https://mailchi.mp/wnti/das-fest-der-vereine-aber-welcher
053,wintibrief,50,2025-06-27,https://mailchi.mp/wnti/bare-ware-packt-ein-und-erfindet-sich-dabei-neu-ip7duouqy0
054,wintibrief,51,2025-06-30,https://mailchi.mp/wnti/siegen-ist-nicht-gleich-siegen
055,parlamentsbrief,3,2025-07-01,https://mailchi.mp/wnti/parlamentsbrief-parlament-stimmt-camping-sanierung-zu
056,wintibrief,52,2025-07-01,https://mailchi.mp/wnti/das-neue-badhaus-fllt-ins-wasser
057,wintibrief,53,2025-07-02,https://mailchi.mp/wnti/generationenwechsel-im-figurentheater-ec1li2q2s4
058,wintibrief,54,2025-07-03,https://mailchi.mp/wnti/das-parlament-entscheidet-walter-soll-gehen
059,wintibrief,55,2025-07-04,https://mailchi.mp/wnti/erst-mafiaboss-dann-verwaltungsrat-jetzt-ehrenprsident-0v42vqwtne
060,wintibrief,56,2025-07-07,https://mailchi.mp/wnti/von-schlossgespenstern-und-hegis
061,parlamentsbrief,4,2025-07-08,https://mailchi.mp/wnti/parlamentsbrief-lange-reden-ber-bus-und-bche-4rzmepjmja
062,wintibrief,57,2025-07-08,https://mailchi.mp/wnti/was-bleibt-wenn-heimat-fehlt-dh9uz4iwv5
063,wintibrief,58,2025-07-09,https://mailchi.mp/wnti/rotweisse-liebe-grosse-emotionen-und-knallhartes-geschft
064,wintibrief,59,2025-07-10,https://mailchi.mp/wnti/wagenkollektiv-bleibt-vorerst
065,wintibrief,60,2025-07-11,https://mailchi.mp/wnti/neubau-soll-kreislauf-champion-werden-865n0iqknq
066,wintibrief,61,2025-07-28,https://mailchi.mp/wnti/1000-cevis-im-grssten-lager-seit-jahren-kjddz0pcnv
067,wintibrief,62,2025-07-29,https://mailchi.mp/wnti/was-treibt-menschen-dazu-an-ein-open-air-auf-die-beine-zu-stellen-lyqvuugblk
068,wintibrief,63,2025-07-30,https://mailchi.mp/wnti/lebensfragen-glhende-konfirmanden-und-brennende-krippen
069,wintibrief,64,2025-07-31,https://mailchi.mp/wnti/amigurumi-abenteuer-kreative-sommerferien-in-winterthur
070,wintibrief,65,2025-08-04,https://mailchi.mp/wnti/nach-den-ferien-ist-vor-dem-lehrstart-rtnhuyzkvw
071,wintibrief,66,2025-08-05,https://mailchi.mp/wnti/wie-die-kantonale-gymnasialreform-die-kantonsschule-belrain-beinflussen-knnte-g00ept70vu
072,wintibrief,67,2025-08-06,https://mailchi.mp/wnti/wie-viel-zukunft-steckt-in-winterthurs-altstadt
073,wintibrief,68,2025-08-07,https://mailchi.mp/wnti/helfen-wo-die-musik-spielt-seit-50-jahren
074,wintibrief,69,2025-08-08,https://mailchi.mp/wnti/wer-vertritt-die-stadt
075,wintibrief,70,2025-08-11,https://mailchi.mp/wnti/was-ist-der-csd-winti-und-was-unterscheidet-einen-csd-von-einer-pride
076,wintibrief,71,2025-08-12,https://mailchi.mp/wnti/us-zlle-treffen-winterthurer-industrie-unterschiedlich-hart
077,wintibrief,72,2025-08-13,https://mailchi.mp/wnti/zigi-freie-mfw-auf-magischen-schuhsohlen
078,wintibrief,73,2025-08-14,https://mailchi.mp/wnti/die-tssemer-dorfet-lebt-wieder-auf
079,wintibrief,74,2025-08-15,https://mailchi.mp/wnti/svp-mfw-und-ein-grossaufgebot-der-polizei
080,wintibrief,75,2025-08-18,https://mailchi.mp/wnti/mit-einer-familie-wrde-ich-nicht-ber-die-runden-kommen
081,wintibrief,76,2025-08-19,https://mailchi.mp/wnti/50-jahre-pff-von-einer-einfachen-idee-zu-einem-modernen-festival
082,wintibrief,77,2025-08-20,https://mailchi.mp/wnti/ich-vermisse-meine-frau-2dpeyvn9qq
083,wintibrief,78,2025-08-21,https://mailchi.mp/wnti/aus-deutschland-nach-winterthur
